Station_id,Lon,Lat,Alt,Start_YYYYMM,End_YYYYMM
50136,5329,12221,102796,195704,195806
50136,5329,12221,102796,195809,197103
50136,5329,12221,2960,197104,197406
50136,5328,12222,2960,197407,199612
50136,5258,12231,4330,199701,201312
50136,5258,12231,4385,201401,202012
50137,5328,12222,2960,200201,201502
50246,5219,12443,103500,196012,196110
50246,5219,12443,103500,196112,196208
50246,5219,12443,3580,197201,197406
50246,5219,12443,3574,197407,199412
50246,5221,12443,3619,199501,202012
50247,5203,12340,5215,197401,198108
50247,5203,12340,5208,198109,199412
50247,5202,12334,5145,199501,199901
50247,5202,12334,105145,199902,200004
50247,5202,12334,5145,200005,200412
50247,5202,12334,105145,200501,201506
50247,5202,12334,5145,201507,202012
50349,5142,12420,4949,197201,198105
50349,5142,12420,4946,198106,201012
50349,5140,12424,5015,201101,202012
50349,5140,12423,5015,201903,202006
50349,5140,12423,5015,202008,202008
50349,5140,12423,5015,202012,202012
50353,5143,12639,1774,195401,201212
50353,5144,12638,1739,201301,202012
50425,5028,12006,6629,195701,197612
50425,5013,12012,5814,197701,198203
50425,5015,12011,5814,198204,202012
50431,5041,12157,9798,195612,196309
50431,5041,12157,9799,196310,198203
50431,5047,12131,9799,198204,200412
50431,5047,12131,7170,200501,201502
50434,5030,12128,9936,195701,196412
50434,5030,12128,107325,196501,196612
50434,5030,12128,107326,196701,198203
50434,5029,12141,107326,198204,198905
50434,5029,12141,7326,198906,202012
50434,3444,13359,313,201906,201906
50442,5024,12407,3717,196607,202012
50442,5025,12407,3717,201903,202006
50442,5025,12407,3717,202008,202008
50442,5025,12407,3717,202012,202012
50445,5043,12334,106854,196001,196312
50445,5035,12344,104237,196401,199012
50445,5035,12344,4237,199101,201502
50468,5015,12727,1658,195901,198110
50468,5015,12727,1664,198111,201705
50468,5015,12728,1664,201706,202012
50514,4937,11726,6668,195612,196312
50514,4934,11726,6668,196401,198404
50514,4934,11726,6617,198405,200912
50514,4935,11719,6618,201001,202012
50524,4919,11930,5766,195901,196312
50524,4919,11926,5766,196401,201502
50525,4909,11945,106171,195901,195912
50525,4909,11945,106167,196001,196306
50525,4909,11945,106171,196307,198505
50525,4909,11945,6208,198506,201502
50526,4924,12042,6663,195701,195912
50526,4924,12042,6587,196001,196312
50526,4916,12043,6587,196401,198112
50526,4917,12042,6688,198201,201502
50527,4913,11945,6766,195101,195409
50527,4913,11945,6768,195410,195512
50527,4913,11945,6129,195601,197602
50527,4913,11945,6128,197603,198402
50527,4913,11945,6102,198403,201012
50527,4915,11942,6496,201101,202012
50548,4905,12353,102879,195701,196312
50548,4912,12343,102879,196401,198802
50548,4912,12343,2861,198803,202012
50548,4912,12343,32766,201804,201804
50557,4910,12513,2223,195101,197206
50557,4910,12514,2422,197207,201709
50557,4909,12514,2422,201710,202012
50557,4910,12514,2422,201903,202006
50557,4910,12514,2422,202008,202008
50557,4910,12514,2422,202012,202012
50564,4926,12721,102286,195401,195905
50564,4926,12721,2345,195906,201708
50564,4927,12722,2345,201709,201711
50564,4925,12720,2345,201712,202012
50564,3444,13360,313,202004,202004
50566,4935,12827,1123,195909,196512
50566,4935,12827,101120,196601,197003
50566,4935,12827,1119,197004,198109
50566,4935,12828,1119,198110,200009
50566,4934,12828,1301,200010,200609
50566,4933,12828,1160,200610,201502
50603,4842,11658,105629,195710,196312
50603,4840,11649,5542,196401,201412
50603,4841,11649,5424,201501,202012
50618,4813,11816,6420,195811,202012
50632,4846,12155,7387,195101,197906
50632,4846,12155,7386,197907,198401
50632,4846,12155,7397,198402,201502
50639,4800,12244,3103,195202,195409
50639,4800,12244,3095,195410,195809
50639,4800,12244,3065,195810,202012
50645,4829,12431,1920,195812,197406
50645,4828,12429,1920,197407,200312
50645,4829,12429,1950,200401,201502
50646,4829,12451,1990,196101,196512
50646,4829,12451,2028,196601,201502
50647,4807,12329,2182,195612,200010
50647,4807,12329,2188,200011,200212
50647,4808,12329,2362,200301,201502
50655,4833,12630,102718,196608,197708
50655,4830,12611,102718,197709,200406
50655,4830,12611,2718,200407,200712
50655,4830,12611,2668,200801,201502
50656,4817,12631,102760,195809,196309
50656,4817,12631,2697,196310,201112
50656,4815,12630,2784,201201,201412
50656,4815,12630,2769,201501,201504
50656,4815,12630,2784,201505,201712
50656,4816,12630,2784,201801,202012
50656,4816,12631,2784,201903,202006
50656,4816,12631,2784,202008,202008
50656,4816,12631,2784,202012,202012
50658,4804,12552,2234,195101,195512
50658,4803,12553,2369,195601,198812
50658,4803,12553,2346,198901,200912
50658,4803,12553,2360,201001,201712
50658,4805,12547,2910,201801,202012
50658,4805,12547,2360,201804,201804
50659,4801,12615,100300,195901,196012
50659,4801,12614,3064,196101,196512
50659,4802,12615,2940,196601,199503
50659,4802,12615,2940,199901,200610
50659,4802,12615,2918,200611,201502
50673,4853,13024,100930,195810,195902
50673,4853,13024,892,195903,196910
50673,4853,13024,100885,196911,197507
50673,4853,13024,904,197508,201502
50674,4834,12926,4045,197401,201612
50727,4713,11958,10250,195206,195407
50727,4713,11958,10265,195408,196312
50727,4710,11957,10265,196401,198206
50727,4710,11957,10272,198207,198410
50727,4710,11957,10274,198411,200212
50727,4710,11956,9972,200301,202012
50739,4721,12310,1892,195801,196712
50739,4720,12311,1900,196801,201412
50739,4718,12315,2093,201501,202012
50739,4718,12314,2093,201903,202006
50739,4718,12314,2093,202008,202008
50739,3444,13360,313,202009,202009
50739,4718,12314,2093,202012,202012
50741,4756,12330,1852,195411,201502
50742,4751,12441,1628,195610,195702
50742,4739,12441,1628,195703,196203
50742,4747,12428,1627,196204,197011
50742,4747,12428,1615,197012,197412
50742,4748,12429,1623,197501,198011
50742,4748,12429,1624,198012,199310
50742,4748,12429,1627,199311,202012
50742,4747,12429,1627,201903,202006
50742,4747,12429,1627,202008,202008
50742,4747,12429,1627,202012,202012
50745,4720,12356,1470,195101,195312
50745,4720,12356,1474,195401,196312
50745,4723,12355,1459,196401,200112
50745,4723,12355,1471,200201,201712
50745,4723,12355,1467,201801,202012
50745,4723,12355,1471,201804,201804
50749,4710,12451,1561,195612,195704
50749,4711,12450,1561,195706,196105
50749,4711,12450,1534,196106,196512
50749,4711,12450,1540,196601,199901
50749,4711,12450,1546,199902,201502
50750,4743,12505,2163,195612,196204
